City,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text
New Delhi,"North Indian, South Indian",150,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average
New Delhi,North Indian,200,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,"Bakery, Desserts",200,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good
Vadodara,"Italian, Mexican, Continental",1500,Indian Rupees(Rs.),No,No,No,No,4,4.4,Green,Very Good
New Delhi,North Indian,600,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average
New Delhi,"Raw Meats, Fast Food",300,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average
Colombo,"Cafe, Italian",2000,Sri Lankan Rupee(LKR),No,No,No,No,3,3.6,Yellow,Good
Noida,"Raw Meats, Fast Food",250,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
Noida,North Indian,600,Indian Rupees(Rs.),No,Yes,No,No,2,3.2,Orange,Average
Noida,Fast Food,400,Indian Rupees(Rs.),No,No,No,No,1,3.0,Orange,Average
New Delhi,"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai",550,Indian Rupees(Rs.),No,No,No,No,2,3.8,Yellow,Good
Gurgaon,"Mughlai, Lucknowi, Awadhi",2500,Indian Rupees(Rs.),Yes,No,No,No,4,3.0,Orange,Average
Aurangabad,"North Indian, South Indian",350,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average
Noida,"North Indian, Chinese",450,Indian Rupees(Rs.),No,Yes,No,No,1,3.4,Orange,Average
New Delhi,"North Indian, Mughlai",1100,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.7,Yellow,Good
New Delhi,Cafe,500,Indian Rupees(Rs.),No,No,No,No,2,3.9,Yellow,Good
Noida,"Pizza, Fast Food",700,Indian Rupees(Rs.),No,No,No,No,2,2.4,Red,Poor
Noida,"South Indian, North Indian, Chinese",800,Indian Rupees(Rs.),No,No,No,No,2,3.5,Yellow,Good
New Delhi,"Spanish, Italian",4500,Indian Rupees(Rs.),Yes,No,No,No,4,4.3,Green,Very Good
Noida,"North Indian, Chinese",400,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average
Kanpur,"North Indian, Mughlai, Lebanese, Arabian, Mediterranean",1400,Indian Rupees(Rs.),No,No,No,No,3,4.0,Green,Very Good
New Delhi,"Finger Food, Continental, North Indian, Chinese",1350,Indian Rupees(Rs.),Yes,No,No,No,3,3.1,Orange,Average
New Delhi,Chinese,350,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,North Indian,500,Indian Rupees(Rs.),No,No,No,No,2,0.0,White,Not rated
New Delhi,"North Indian, Chinese, South Indian, Street Food, Mithai",400,Indian Rupees(Rs.),No,Yes,No,No,1,2.4,Red,Poor
New Delhi,"North Indian, Chinese",650,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average
New Delhi,North Indian,100,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,"American, European",2100,Indian Rupees(Rs.),Yes,Yes,No,No,4,4.2,Green,Very Good
New Delhi,Cafe,450,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,"Middle Eastern, Mediterranean, North Indian",1800,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.1,Orange,Average
New Delhi,"North Indian, Fast Food",300,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,Street Food,50,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
Ghaziabad,"North Indian, Fast Food",400,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average
Gurgaon,"Healthy Food, Salad, Italian, Continental",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.9,Yellow,Good
New Delhi,"North Indian, Mughlai",700,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average
New Delhi,"North Indian, Chinese",550,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average
New Delhi,Fast Food,100,Indian Rupees(Rs.),No,No,No,No,1,3.7,Yellow,Good
New Delhi,North Indian,550,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average
New Delhi,Bakery,200,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
Noida,"Salad, Continental",500,Indian Rupees(Rs.),No,Yes,No,No,2,4.1,Green,Very Good
New Delhi,Biryani,600,Indian Rupees(Rs.),No,Yes,No,No,2,0.0,White,Not rated
Noida,"North Indian, Mughlai",400,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,"Mithai, Street Food",150,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,"Fast Food, Chinese",300,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
Gurgaon,"American, Fast Food, Salad, Healthy Food",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.3,Orange,Average
Cedar Rapids/Iowa City,Chinese,10,Dollar($),No,No,No,No,1,4.2,Green,Very Good
New Delhi,"North Indian, Chinese",150,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,"Raw Meats, Fast Food",400,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,"Desserts, Street Food",100,Indian Rupees(Rs.),No,Yes,No,No,1,3.3,Orange,Average
Bras�_lia,International,230,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent
New Delhi,Chinese,450,Indian Rupees(Rs.),No,Yes,No,No,1,2.9,Orange,Average
New Delhi,Fast Food,100,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
Noida,"Cafe, Italian, Continental, Desserts",1000,Indian Rupees(Rs.),Yes,No,No,No,3,3.9,Yellow,Good
New Delhi,"North Indian, Mughlai, Chinese, Fast Food",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average
New Delhi,"Mithai, Street Food, North Indian",450,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
London,"Taiwanese, Street Food",20,Pounds(��),No,No,No,No,2,4.9,Dark Green,Excellent
New Delhi,Fast Food,150,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average
New Delhi,"Biryani, Hyderabadi",1000,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.1,Orange,Average
New Delhi,"Japanese, Chinese, Asian, Thai",1800,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.7,Yellow,Good
Gurgaon,"North Indian, Chinese",900,Indian Rupees(Rs.),Yes,No,No,No,2,3.3,Orange,Average
New Delhi,Chinese,350,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good
New Delhi,Bakery,100,Indian Rupees(Rs.),No,Yes,No,No,1,3.5,Yellow,Good
New Delhi,Street Food,250,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average
New Delhi,Chinese,500,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average
Noida,"Pizza, Fast Food",700,Indian Rupees(Rs.),No,No,No,No,2,2.3,Red,Poor
New Delhi,"Pizza, Fast Food",500,Indian Rupees(Rs.),No,No,No,No,2,3.0,Orange,Average
Noida,Cafe,650,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average
New Delhi,"North Indian, Chinese, Mughlai",2400,Indian Rupees(Rs.),No,No,No,No,4,3.8,Yellow,Good
New Delhi,"North Indian, Chinese",550,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average
New Delhi,"Lebanese, Arabian, Moroccan",900,Indian Rupees(Rs.),No,Yes,No,No,2,2.2,Red,Poor
Coimbatore,"North Indian, Continental",700,Indian Rupees(Rs.),No,Yes,No,No,2,3.9,Yellow,Good
New Delhi,"North Indian, Chinese",600,Indian Rupees(Rs.),No,No,No,No,2,2.7,Orange,Average
New Delhi,North Indian,1300,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.7,Yellow,Good
New Delhi,Modern Indian,2200,Indian Rupees(Rs.),No,No,No,No,4,4.4,Green,Very Good
Valdosta,"Japanese, Steak, Sushi",70,Dollar($),No,No,No,No,4,3.5,Yellow,Good
Singapore,"American, Bakery, European, Burger, Fusion",50,Dollar($),No,No,No,No,3,3.8,Yellow,Good
New Delhi,Mithai,100,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good
New Delhi,"Kerala, Biryani",400,Indian Rupees(Rs.),No,No,No,No,1,3.9,Yellow,Good
Noida,Fast Food,300,Indian Rupees(Rs.),No,No,No,No,1,3.8,Yellow,Good
S��o Paulo,Brazilian,100,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good
New Delhi,"North Indian, Chinese, Finger Food",2500,Indian Rupees(Rs.),Yes,No,No,No,4,3.3,Orange,Average
New Delhi,Rajasthani,900,Indian Rupees(Rs.),Yes,Yes,No,No,2,4.1,Green,Very Good
Noida,Fast Food,350,Indian Rupees(Rs.),No,Yes,No,No,1,3.6,Yellow,Good
New Delhi,"Raw Meats, Fast Food",400,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average
New Delhi,"Chinese, South Indian, North Indian",400,Indian Rupees(Rs.),No,Yes,No,No,1,2.7,Orange,Average
New Delhi,"North Indian, Chinese, Continental",1100,Indian Rupees(Rs.),Yes,No,No,No,3,3.7,Yellow,Good
Orlando,"New American, Tapas",40,Dollar($),No,No,No,No,3,4.6,Dark Green,Excellent
Noida,Desserts,300,Indian Rupees(Rs.),No,No,No,No,1,3.4,Orange,Average
New Delhi,"North Indian, Chinese, Mughlai",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average
Noida,"North Indian, Chinese, Continental",650,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average
New Delhi,Cafe,750,Indian Rupees(Rs.),No,No,No,No,2,2.6,Orange,Average
New Delhi,"Bakery, Fast Food",400,Indian Rupees(Rs.),No,Yes,No,No,1,3.6,Yellow,Good
Vizag,"South Indian, North Indian",300,Indian Rupees(Rs.),No,No,No,No,1,4.2,Green,Very Good
Noida,"North Indian, Fast Food",400,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,Bakery,200,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
Singapore,"American, Mexican",95,Dollar($),No,No,No,No,4,3.2,Orange,Average
New Delhi,"North Indian, Fast Food",700,Indian Rupees(Rs.),No,Yes,No,No,2,2.3,Red,Poor
New Delhi,Cafe,500,Indian Rupees(Rs.),No,No,No,No,2,0.0,White,Not rated
New Delhi,"North Indian, Continental, Chinese",1000,Indian Rupees(Rs.),Yes,No,No,No,3,3.3,Orange,Average
New Delhi,"North Indian, Chinese",550,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average
Faridabad,North Indian,150,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average
New Delhi,"Mithai, Street Food",200,Indian Rupees(Rs.),No,No,No,No,1,2.7,Orange,Average
Noida,North Indian,200,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,Cafe,2500,Indian Rupees(Rs.),No,No,No,No,4,3.8,Yellow,Good
New Delhi,"South Indian, Chinese",400,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,"North Indian, Street Food",200,Indian Rupees(Rs.),No,No,No,No,1,4.0,Green,Very Good
Noida,Bakery,600,Indian Rupees(Rs.),No,Yes,No,No,2,0.0,White,Not rated
New Delhi,South Indian,500,Indian Rupees(Rs.),No,Yes,No,No,2,3.6,Yellow,Good
New Delhi,North Indian,150,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average
New Delhi,"North Indian, South Indian",200,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
Faridabad,"North Indian, Chinese",500,Indian Rupees(Rs.),No,No,No,No,2,3.0,Orange,Average
New Delhi,"Fast Food, Desserts",200,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average
Varanasi,"Chinese, North Indian",0,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good
New Delhi,Ice Cream,150,Indian Rupees(Rs.),No,Yes,No,No,1,4.5,Dark Green,Excellent
New Delhi,"North Indian, Fast Food",200,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,"North Indian, Chinese",500,Indian Rupees(Rs.),No,Yes,No,No,2,2.2,Red,Poor
New Delhi,North Indian,600,Indian Rupees(Rs.),No,No,No,No,2,0.0,White,Not rated
New Delhi,Bakery,300,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,Street Food,100,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
S��o Paulo,Sushi,230,Brazilian Real(R$),No,No,No,No,4,3.9,Yellow,Good
Noida,"North Indian, Chinese, South Indian, Mithai",650,Indian Rupees(Rs.),No,Yes,No,No,2,2.7,Orange,Average
New Delhi,"Cafe, Italian",600,Indian Rupees(Rs.),No,No,No,No,2,0.0,White,Not rated
New Delhi,Fast Food,1100,Indian Rupees(Rs.),No,No,No,No,3,3.2,Orange,Average
New Delhi,"Bakery, Desserts, Fast Food",150,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average
Noida,Fast Food,400,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,Fast Food,250,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average
New Delhi,"American, Fast Food",500,Indian Rupees(Rs.),No,Yes,No,No,2,2.6,Orange,Average
New Delhi,"Bakery, Desserts, Fast Food",350,Indian Rupees(Rs.),No,No,No,No,1,3.8,Yellow,Good
Athens,"International, Southern",40,Dollar($),No,No,No,No,3,4.1,Green,Very Good
Gurgaon,Chinese,600,Indian Rupees(Rs.),No,Yes,No,No,2,2.8,Orange,Average
Cape Town,Cafe,150,Rand(R),No,No,No,No,2,4.4,Green,Very Good
New Delhi,"Bakery, Desserts, Fast Food, Mithai",500,Indian Rupees(Rs.),No,No,No,No,2,0.0,White,Not rated
Gurgaon,"Mithai, Street Food",200,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average
Gurgaon,Fast Food,300,Indian Rupees(Rs.),No,Yes,No,No,1,3.7,Yellow,Good
Noida,"North Indian, South Indian, Italian, Chinese",500,Indian Rupees(Rs.),No,No,No,No,2,0.0,White,Not rated
Gurgaon,"American, Mexican",1000,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.3,Orange,Average
New Delhi,Street Food,150,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,"Asian, North Indian",1100,Indian Rupees(Rs.),No,Yes,No,No,3,3.8,Yellow,Good
New Delhi,"Chinese, North Indian",500,Indian Rupees(Rs.),No,No,No,No,2,0.0,White,Not rated
New Delhi,Cafe,900,Indian Rupees(Rs.),No,Yes,No,No,2,4.0,Green,Very Good
New Delhi,"North Indian, Maharashtrian",300,Indian Rupees(Rs.),No,No,No,No,1,3.8,Yellow,Good
Gurgaon,Bakery,500,Indian Rupees(Rs.),No,No,No,No,2,0.0,White,Not rated
Cedar Rapids/Iowa City,"Breakfast, Diner",25,Dollar($),No,No,No,No,2,3.6,Yellow,Good
Gurgaon,"Fast Food, Chinese",450,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average
Gurgaon,"Fast Food, Beverages",550,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average
Gurgaon,"Chinese, Street Food",150,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average
New Delhi,"Raw Meats, Fast Food",400,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average
New Delhi,Fast Food,300,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average
Albany,,0,Dollar($),No,No,No,No,1,3.4,Orange,Average
New Delhi,"North Indian, Mughlai, Chinese",1500,Indian Rupees(Rs.),Yes,No,No,No,3,0.0,White,Not rated
Noida,"North Indian, Mughlai",500,Indian Rupees(Rs.),No,No,No,No,2,0.0,White,Not rated
New Delhi,"Cafe, Italian",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.8,Yellow,Good
New Delhi,"Cafe, Chinese",500,Indian Rupees(Rs.),No,No,No,No,2,3.0,Orange,Average
Hyderabad,"European, Mediterranean, North Indian",1500,Indian Rupees(Rs.),No,No,No,No,3,4.9,Dark Green,Excellent
New Delhi,Mughlai,350,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
Faridabad,"North Indian, Mughlai, Chinese",500,Indian Rupees(Rs.),Yes,No,No,No,2,3.3,Orange,Average
Gurgaon,"Chinese, Asian, Thai",650,Indian Rupees(Rs.),No,Yes,No,No,2,4.1,Green,Very Good
New Delhi,North Indian,200,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average
Noida,"North Indian, Chinese",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.1,Orange,Average
Gurgaon,"Bakery, Fast Food",800,Indian Rupees(Rs.),No,No,No,No,2,2.4,Red,Poor
Noida,Cafe,650,Indian Rupees(Rs.),No,No,No,No,2,3.0,Orange,Average
Gurgaon,"Bakery, Desserts",300,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average
Faridabad,Bakery,200,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,"American, Fast Food, Salad, Healthy Food",500,Indian Rupees(Rs.),No,Yes,No,No,2,2.6,Orange,Average
New Delhi,Chinese,400,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average
New Delhi,"North Indian, Mughlai, Chinese",2400,Indian Rupees(Rs.),Yes,No,No,No,4,3.2,Orange,Average
New Delhi,"Continental, North Indian, Chinese",2200,Indian Rupees(Rs.),Yes,No,No,No,4,3.2,Orange,Average
Gurgaon,"North Indian, Chinese",600,Indian Rupees(Rs.),No,No,No,No,2,0.0,White,Not rated
Wellington City,European,110,NewZealand($),No,No,No,No,4,4.3,Green,Very Good
New Delhi,"Cafe, Tea",400,Indian Rupees(Rs.),No,Yes,No,No,1,4.1,Green,Very Good
New Delhi,"North Indian, Mughlai, Chinese",700,Indian Rupees(Rs.),No,No,No,No,2,3.0,Orange,Average
New Delhi,"Chinese, Thai",800,Indian Rupees(Rs.),Yes,No,No,No,2,3.6,Yellow,Good
Allahabad,"South Indian, Chinese",500,Indian Rupees(Rs.),No,No,No,No,3,3.4,Orange,Average
New Delhi,"Chinese, Japanese, Thai, Malaysian, Vietnamese, Asian",2200,Indian Rupees(Rs.),Yes,No,No,No,4,3.6,Yellow,Good
New Delhi,"Street Food, Fast Food",300,Indian Rupees(Rs.),No,No,No,No,1,3.0,Orange,Average
Noida,"North Indian, Chinese",400,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
Armidale,"Bar Food, Steak",20,Dollar($),No,No,No,No,2,3.5,Yellow,Good
Faridabad,"Bakery, Fast Food",400,Indian Rupees(Rs.),No,No,No,No,1,3.6,Yellow,Good
New Delhi,"North Indian, Mughlai",600,Indian Rupees(Rs.),No,No,No,No,2,0.0,White,Not rated
New Delhi,"Continental, Mediterranean, Italian, North Indian",1400,Indian Rupees(Rs.),Yes,No,No,No,3,4.0,Green,Very Good
New Delhi,"Mithai, Street Food",100,Indian Rupees(Rs.),No,No,No,No,1,2.5,Orange,Average
Gurgaon,South Indian,300,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
Noida,North Indian,500,Indian Rupees(Rs.),No,No,No,No,2,2.6,Orange,Average
Noida,"North Indian, Continental, Thai, Chinese",1350,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.5,Yellow,Good
New Delhi,"Fast Food, American, Burger",1000,Indian Rupees(Rs.),Yes,No,No,No,3,4.0,Green,Very Good
New Delhi,"North Indian, Chinese, Cafe",550,Indian Rupees(Rs.),No,Yes,No,No,2,3.7,Yellow,Good
New Delhi,"Bakery, Desserts",300,Indian Rupees(Rs.),No,No,No,No,1,3.0,Orange,Average
New Delhi,Ice Cream,150,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average
New Delhi,North Indian,150,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,"Bakery, Fast Food",300,Indian Rupees(Rs.),No,Yes,No,No,1,3.1,Orange,Average
New Delhi,Mughlai,250,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,North Indian,750,Indian Rupees(Rs.),Yes,Yes,No,No,2,3.3,Orange,Average
New Delhi,"North Indian, Chinese",1900,Indian Rupees(Rs.),Yes,No,No,No,3,3.2,Orange,Average
New Delhi,"Street Food, Mithai",200,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average
New Delhi,"North Indian, Street Food",200,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average
New Delhi,Pizza,350,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
Valdosta,"American, Southern",25,Dollar($),No,No,No,No,2,3.9,Yellow,Good
Gurgaon,North Indian,1100,Indian Rupees(Rs.),No,No,No,No,3,3.6,Yellow,Good
New Delhi,"Continental, American, Asian, North Indian",1600,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.3,Green,Very Good
Noida,"Fast Food, North Indian",600,Indian Rupees(Rs.),No,No,No,No,2,3.0,Orange,Average
New Delhi,"Chinese, Thai",1100,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.9,Yellow,Good
Ludhiana,"North Indian, Continental",1500,Indian Rupees(Rs.),No,No,No,No,3,3.9,Yellow,Good
Gurgaon,"Asian, Seafood",1500,Indian Rupees(Rs.),No,No,No,No,3,4.1,Green,Very Good
New Delhi,"Chinese, Fast Food",850,Indian Rupees(Rs.),Yes,No,No,No,2,3.3,Orange,Average
New Delhi,"North Indian, Mughlai, Lebanese",2000,Indian Rupees(Rs.),Yes,Yes,No,No,4,3.8,Yellow,Good
New Delhi,"North Indian, Mughlai",550,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average
Gurgaon,North Indian,350,Indian Rupees(Rs.),No,Yes,No,No,1,3.9,Yellow,Good
New Delhi,"Raw Meats, Fast Food",350,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
New Delhi,Biryani,350,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated
