City,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Rating color,Rating text,Aggregate rating
Varanasi,"North Indian, Cafe",0.33333333333333326,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,3.4
New Delhi,"Fast Food, Chinese",0.11111111111111105,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,2.6
New Delhi,North Indian,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
Faridabad,"Fast Food, Chinese",0.11111111111111105,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,2.9
Columbus,"Japanese, Sushi, Thai",0.0,Dollar($),No,No,No,No,1.0,Yellow,Good,3.7
Auckland,Chinese,0.0,NewZealand($),No,No,No,No,1.0,Green,Very Good,4.3
New Delhi,Chinese,0.4444444444444444,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated,0.0
New Delhi,"Italian, Mediterranean, Continental, North Indian",1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Yellow,Good,3.9
Noida,"North Indian, Chinese",0.11111111111111105,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,2.9
Noida,North Indian,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,2.9
Noida,"North Indian, Chinese, Fast Food",0.5555555555555556,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,2.9
New Delhi,"South Indian, Fast Food, Street Food",0.5555555555555556,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,3.1
New Delhi,"Chinese, Fast Food",0.4444444444444444,Indian Rupees(Rs.),No,Yes,No,No,0.0,Orange,Average,3.2
Noida,"Burger, Desserts, Fast Food",0.7777777777777777,Indian Rupees(Rs.),No,No,No,No,1.0,White,Not rated,0.0
New Delhi,"Pizza, Fast Food",1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Yellow,Good,3.7
New Delhi,"Chinese, Fast Food",0.4444444444444444,Indian Rupees(Rs.),No,No,No,No,0.0,Yellow,Good,3.6
New Delhi,Cafe,0.8888888888888888,Indian Rupees(Rs.),No,No,No,No,1.0,Yellow,Good,3.6
New Delhi,North Indian,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Yellow,Good,3.6
New Delhi,South Indian,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,3.0
Noida,"South Indian, North Indian, Chinese",0.7777777777777777,Indian Rupees(Rs.),No,Yes,No,No,1.0,Orange,Average,3.2
Noida,"Fast Food, Chinese",0.33333333333333326,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,2.8
New Delhi,"Bakery, Desserts, Fast Food",1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Yellow,Good,3.7
Dalton,"American, Burger",0.0,Dollar($),No,No,No,No,0.0,Green,Very Good,4.1
New Delhi,"South Indian, North Indian, Chinese",0.7777777777777777,Indian Rupees(Rs.),No,Yes,No,No,1.0,Red,Poor,2.4
New Delhi,"Burger, Desserts, Fast Food",0.7777777777777777,Indian Rupees(Rs.),No,Yes,No,No,1.0,Yellow,Good,3.8
New Delhi,"Pizza, Fast Food",1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,2.8
New Delhi,"North Indian, Chinese",0.7777777777777777,Indian Rupees(Rs.),No,Yes,No,No,1.0,Orange,Average,2.6
Gurgaon,"Continental, Italian",1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Yellow,Good,3.7
New Delhi,"Mithai, Street Food",0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Yellow,Good,3.8
New Delhi,"North Indian, Mughlai",1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average,2.8
Gurgaon,"South Indian, North Indian, Chinese",0.11111111111111105,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,3.4
New Delhi,"South Indian, North Indian, Chinese",0.5555555555555556,Indian Rupees(Rs.),No,Yes,No,No,1.0,Yellow,Good,3.7
New Delhi,"Chinese, Fast Food",0.4444444444444444,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,3.3
Gurgaon,Ice Cream,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average,3.0
New Delhi,Pizza,0.7777777777777777,Indian Rupees(Rs.),No,Yes,No,No,1.0,Orange,Average,2.5
Princeton,Seafood,0.0,Dollar($),No,No,No,No,1.0,Green,Very Good,4.0
Noida,"Biryani, Mughlai",1.0,Indian Rupees(Rs.),No,Yes,No,No,1.0,Green,Very Good,4.1
New Delhi,"South Indian, North Indian, Chinese",0.7777777777777777,Indian Rupees(Rs.),No,Yes,No,No,1.0,Orange,Average,2.7
Bhopal,Fast Food,0.5555555555555556,Indian Rupees(Rs.),No,No,No,No,1.0,Green,Very Good,4.1
Gurgaon,"North Indian, Chinese",0.33333333333333326,Indian Rupees(Rs.),No,Yes,No,No,0.0,Yellow,Good,3.9
